pricipal_country_served;primary_source_water_type;status;type;water_system_name;water_system_no
ADAMS;GWP;A;C;ABINGDON;IL0015150
DU PAGE;SWP;A;C;ABS WATER COOP;IL0430050
ROCK ISLAND;GW;A;C;ACORN ACRES MHP;IL1615185
FRANKLIN;SWP;A;C;ADAMS COUNTY WATER DISTRICT NO 1;IL0555120
WHITESIDE;GW;A;C;ADDISON;IL1950050
CLINTON;SWP;A;C;AIR VIEW MHP;IL0270050
EDWARDS;GW;A;C;AKIN WATER DISTRICT;IL0470050
LAKE;GW;A;C;ALBANY;IL0971090
MERCER;GW;A;C;ALBERS;IL1310050
MORGAN;SWP;A;C;ALBION;IL1370020
WARREN;GW;A;C;ALDEN LONG GROVE NURSING CENTER;IL1874000
MCHENRY;GW;A;C;ALEDO;IL1110050
MADISON;SWP;A;C;ALEXANDER WATER DISTRICT;IL1190050
WABASH;GW;A;C;ALEXIS;IL1850050
LAKE;GW;A;C;ALGONQUIN;IL0975139
VERMILION;GW;A;C;ALHAMBRA;IL1834020
MARION;SWP;A;C;ALLENDALE;IL1210050
HENRY;GW;A;C;ALLENDALE ASSOCIATION;IL0730050
COOK;SWP;A;C;ALLERTON;IL0315125
SCOTT;GWP;A;C;ALMA;IL1715050
COOK;SWP;A;C;ALPHA;IL0310030
EFFINGHAM;SW;A;C;ALPINE VILLAGE MHP;IL0490050
UNION;GWP;A;C;ALSEY-GLASGOW WATER COMMISSION;IL1815150
KNOX;GW;A;C;ALSIP;IL0950100
VERMILION;GW;A;C;ALTAMONT;IL1830050
LEE;GW;A;C;ALTO PASS WATER DISTRICT;IL1030050
ST CLAIR;SWP;A;C;ALTONA;IL1635237
MCLEAN;GW;A;C;ALVAN;IL1130050
ROCK ISLAND;GW;A;C;AMBOY;IL1610050
HENRY;GW;A;C;AMERICAN WATER OPER AND MAINTENANCE, LLC;IL0730100
UNION;GWP;A;C;ANCHOR;IL1810050
UNION;GW;A;C;ANDALUSIA;IL1815050
HENRY;GW;A;C;ANDOVER;IL0730150
LAKE;GW;A;C;ANNA;IL0970050
MORGAN;SWP;A;C;ANNA-JONESBORO WATER COMMISSION;IL1370040
JO DAVIESS;GW;A;C;ANNAWAN;IL0850050
BOONE;GW;A;C;ANTIOCH;IL0075050
